"","age","type"
"BC-52",5.12156823784906,"DF"
"BC-50",15.1453073452453,"DF"
"BC-49",20.2285403137434,"DF"
"GRC_102",27.1120875058184,"DF"
"LK_98",177.684331088595,"DF"
"BC-53",178.319233851062,"DF"
"GRC_10",183.718766340869,"DF"
"UK_95b",183.97409022243,"DF"
"UK_79b",184.639759729018,"DF"
"LK_0.16k",186.812209080299,"DF"
"BC-46",188.496340223767,"DF"
"LK_151k",190.259006112273,"DF"
"CCF-10",191.367632893817,"DF"
"CCF-12",193.347561541067,"DF"
"DFK_64",197.366113434581,"DF"
"UK_75",198.870788888713,"DF"
"UK_205",205.634862222064,"DF"
"CCC-2",206.387496340425,"DF"
"BC-44",207.063288635351,"DF"
"CCF-28",210.177352567441,"DF"
"CCC-3",210.884591560824,"DF"
"GRC_530",215.234259240279,"DF"
"LK_0.42f",215.336956451072,"DF"
"CCF-2",216.380111555935,"DF"
"CCF-11",218.38515374453,"DF"
"UK_158",220.631293647802,"DF"
"LK_67P",224.291020276828,"DF"
"UK_30",230.696715016748,"DF"
"BC-38",232.986502622005,"DF"
"CCF-13",235.034825335605,"DF"
"DFK_222",286.580189572374,"DF"
"DFK_142",301.166321583851,"DF"
"UK_188",374.910504322831,"DF"
"CCF-14",381.692445006829,"DF"
"LK_197",405.471788831557,"DF"
"DFK_130",413.594251332378,"DF"
"UK_153",417.707243056858,"DF"
"GRC_160",455.874106864925,"DF"
"LK_31h",460.704958537054,"DF"
"UK_61",470.437917018327,"DF"
"LK_154",493.489521062215,"DF"
"BC-32",501.843926519374,"DF"
"GRC_510",501.998607268632,"DF"
"BC-2",505.214712723844,"DF"
"BC-51",527.389855351002,"DF"
"CCF-6",528.539453760833,"DF"
"BC-14",532.283463250894,"DF"
"BC-13",544.744141792166,"DF"
"CCF-5",597.722473483585,"DF"
"BC-54",598.731609205905,"DF"
"CCF-16",639.844547305187,"DF"
"DFK_39",641.87942073493,"DF"
"DFK_147",650.55897033771,"DF"
"BC-35",654.496295047792,"DF"
"DFK_62b",655.509910024556,"DF"
"UK_197",661.576485599124,"DF"
"BC-37",662.738325952491,"DF"
"LK_119",662.86579085165,"DF"
"CCF-3",668.687083787215,"DF"
"BC-19",775.800995704044,"DF"
"UK_84",897.660186106621,"DF"
"CCF-15",910.530490879165,"DF"
"LK_204",916.854439899913,"DF"
"DFK_162",933.08194992213,"DF"
"DamBase1",940.210514102188,"DF"
"DFK_188",964.816933938956,"DF"
"BC-9",1011.98834871955,"DF"
"BC-7",1020.71735481032,"DF"
"UK_53c",1030.59655252771,"DF"
"BC-34",1079.9558688358,"DF"
"LK_138",1119.93865798504,"DF"
"DFK_178",1146.92822811277,"DF"
"UK_4",1150.07487206532,"DF"
"LK_131",1164.84410598479,"DF"
"DFK_13",1268.44886706712,"DF"
"BC-17",1408.57065730881,"DF"
"BC-33",1481.01551287516,"DF"
"CCF-19",1486.3913160344,"DF"
"LK_145i",1498.91878610176,"DF"
"DFK_234",1519.00021036372,"DF"
"BC-5",1667.23899538489,"DF"
"LK_142",1668.76003096762,"DF"
"BC-18",1864.44608609267,"DF"
"CCF-18",2052.51456931901,"DF"
"CCF-22",2098.02629973493,"DF"
"BC-36",2567.27559309461,"DF"
"CCF-1",2635.81612164515,"DF"
"BC-25",2830.06317289215,"DF"
"DFK_36",3113.9778084346,"DF"
"CCF-7",3182.44280545118,"DF"
"CCF-4",3507.827827513,"DF"
"DFK_304",3783.54446162213,"DF"
"LK_162",3868.22515462445,"DF"
"BC-43",4141.54993696856,"DF"
"LK_187",4146.05858469031,"DF"
"LK_63a",5197.58593016284,"DF"
"LK_37",6163.83833082101,"DF"
"CCF-21",6817.86991040206,"DF"
"LK_61",8095.11388493309,"DF"
"CCF-29",10530.7590913241,"DF"
"CCF-26",182.280843250199,"FF"
"GRC_502",183.920428998403,"FF"
"GRC_483",187.088246511155,"FF"
"BC-15",187.355113436264,"FF"
"LK_150",188.310912098175,"FF"
"UK_91",188.375050291513,"FF"
"UK_97",190.732724890092,"FF"
"GRC_84",191.1856521199,"FF"
"T8-6",191.373077250007,"FF"
"UK_99",192.712165194068,"FF"
"UK_87",197.311329583922,"FF"
"CCC-4",200.511644379265,"FF"
"GRC_228",208.569940988852,"FF"
"GRC_177",211.11527069481,"FF"
"BC-4",211.568915357865,"FF"
"T8-16",218.616741894646,"FF"
"BC-22",225.197319177053,"FF"
"T8-20",230.207020682795,"FF"
"GRC-2",237.594249604833,"FF"
"UK_48",244.737872532992,"FF"
"DFK_97",405.374528628861,"FF"
"GRC_383",435.514075921407,"FF"
"BC-21",461.204407810797,"FF"
"T8-23",465.670347851315,"FF"
"GRC_532",492.097048893154,"FF"
"GRC_517",493.071221999495,"FF"
"LK_118",520.435626603064,"FF"
"UK_121",550.865139452626,"FF"
"T8-2",567.544270145384,"FF"
"LK_58",629.009683717688,"FF"
"LK_19",642.831937863617,"FF"
"GRC_439",651.667586607267,"FF"
"T8-13",681.560708649362,"FF"
"LK_36",806.672884444288,"FF"
"T8-15",821.033670888453,"FF"
"GRC-6",847.234191469543,"FF"
"GRC_368",881.455839714184,"FF"
"T8-5",886.767816561993,"FF"
"LK_158",899.028609053587,"FF"
"LK_207",904.987699687542,"FF"
"GRC_270",910.939009408597,"FF"
"GRC_470A",929.999312069485,"FF"
"T8-3",972.829982542711,"FF"
"T8-10",1257.64094996558,"FF"
"GRC_452",1634.51819780972,"FF"
"UK_151",2299.07236003765,"FF"
"BC-24",2634.87221044048,"FF"
"BC-12",3111.91308222293,"FF"
"LK_103",3418.395972778,"FF"
"BC-11",3700.10788914066,"FF"
"GRC_459",3936.37739525406,"FF"
"BC-20",4187.67825772666,"FF"
"LK_97",4981.67428740506,"FF"
"LK_148c",5147.40445010182,"FF"
"LK_187a",7579.56823290312,"FF"
"LK_57",11283.5582640208,"FF"
"BC-31",44.9766952563522,"FG"
"GRC-8",48.5372424684874,"FG"
"UK_136",174.868360112625,"FG"
"BC-27",177.86527369927,"FG"
"DFK_184b",178.039117853001,"FG"
"CCF-30",181.342085267583,"FG"
"CCF-8",183.129807375229,"FG"
"DFK_214",184.53243742352,"FG"
"BC-6",192.36173432609,"FG"
"BC-16",192.36173432609,"FG"
"GRC-4",197.924108890269,"FG"
"DFK_140n",200.716390464703,"FG"
"UK_64",207.780058457163,"FG"
"GRC-5",208.421637471499,"FG"
"GRC-1",211.245437518186,"FG"
"BC-23",211.395301060463,"FG"
"DFK_174",212.31623373469,"FG"
"DFK_141",216.391970599873,"FG"
"GRC_386",216.951317145316,"FG"
"LK_159",219.60737463958,"FG"
"CCF-9",219.655269418641,"FG"
"BC-8",224.984584242002,"FG"
"DFK_197",226.198520967506,"FG"
"UK_190",228.936293406277,"FG"
"DFK_280",245.83637347115,"FG"
"CCF-27",247.936862590124,"FG"
"CCC-5",250.441379304655,"FG"
"T8-12",271.201969367551,"FG"
"DFK_324",274.445920839613,"FG"
"CCF-17",277.759221434842,"FG"
"CCF-24",341.733847586755,"FG"
"LK_11",373.630270753506,"FG"
"GRC_462",420.639955425702,"FG"
"UK_186",444.164228113334,"FG"
"LK140",447.484451564899,"FG"
"DFK_300",449.707147163483,"FG"
"GRC_577a",451.152711390109,"FG"
"T8-25",478.666759447825,"FG"
"DFk_42",480.284131020088,"FG"
"LK_36R",489.042367182574,"FG"
"T8-1",491.247089119083,"FG"
"CCF-23",546.501493874441,"FG"
"T8-7",569.752973521535,"FG"
"T8-24",604.422505480049,"FG"
"UK_31",652.203969050725,"FG"
"GRC_468",654.667308840049,"FG"
"CCF-25",689.25066914937,"FG"
"T8-22",811.610416372795,"FG"
"UK_1g",854.497019249703,"FG"
"CCF-20",879.69505062487,"FG"
"DFK_264",889.122408757277,"FG"
"T8-4",922.267174146323,"FG"
"UK_88",950.19610144688,"FG"
"T8-18",1034.77692463469,"FG"
"UK_128",1035.87948003994,"FG"
"UK_204",1054.08901962419,"FG"
"UK_77",1061.28115551473,"FG"
"UK_117",1105.52105708356,"FG"
"GRC_507",1129.45292101888,"FG"
"GRC_443",1237.17173331415,"FG"
"BC-30",1262.40718854674,"FG"
"CCC-1",1313.06950669108,"FG"
"LK_41",1404.96686238204,"FG"
"GRC_123",1566.82082316903,"FG"
"GRC_6",1605.51604808359,"FG"
"LK_193",1705.58175652329,"FG"
"UK_132",1749.84937639773,"FG"
"BC-3",1971.99174635339,"FG"
"DFK_110",2082.70851844525,"FG"
"T8-14",2274.94142091585,"FG"
"LK_66a",2368.57236084531,"FG"
"BC-10",2404.94507169407,"FG"
"UK_44",2435.0786570462,"FG"
"GRC_474",2682.10104518164,"FG"
"DFK_84b",2895.20605082791,"FG"
"DFK_226",4090.44303943992,"FG"
"GRC_43",4998.2901343705,"FG"
"BC-26",5115.98388099391,"FG"
"UK_176",5462.63049294145,"FG"
"T8-11",5489.59667233401,"FG"
"GRC_553",5773.15353800845,"FG"
"T8-8",5800.16192872281,"FG"
"T8-19",5868.01537202353,"FG"
"DFK_11",5868.01552389486,"FG"
"UK_207",5956.37332026979,"FG"
"DFK_139",7025.83189401314,"FG"
"T8-17",7097.37392756529,"FG"
"GRC_461",12449.1313484756,"FG"
"GRC-7",12571.7222689552,"FG"
"GRC-3",16654.3038054761,"FG"
